source,target,CountOfattacktype1_txt
Akali Dal Party,Armed Assault,1
All India Sikh Students Federation (AISSF),Bombing/Explosion,2
All India Sikh Students Federation (AISSF),Facility/Infrastructure Attack,1
All India Sikh Students Federation (AISSF),Hijacking,1
Allah's Tigers,Bombing/Explosion,1
Anti-Immigrant Activists,Bombing/Explosion,3
Anti-Socials,Assassination,1
Babbar Khalsa International (BKI),Bombing/Explosion,5
Bhinderanwale Tiger Force of Khalistan (BTHK),Armed Assault,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Assassination,1
Bodo Militants,Armed Assault,13
Bodo Militants,Assassination,6
Bodo Militants,Bombing/Explosion,20
Bodo Militants,Hostage Taking (Kidnapping),1
Bodo Militants,Unarmed Assault,1
Communist Party of India,Bombing/Explosion,1
Dishmish Regiment,Assassination,4
Dishmish Regiment,Bombing/Explosion,37
Dishmish Regiment,Facility/Infrastructure Attack,2
Dissident,Bombing/Explosion,1
Extremists,Assassination,2
Extremists,Bombing/Explosion,2
Gunmen,Assassination,1
Gurkha National Liberation Front (GNLF),Armed Assault,18
Gurkha National Liberation Front (GNLF),Assassination,6
Gurkha National Liberation Front (GNLF),Bombing/Explosion,23
Gurkha National Liberation Front (GNLF),Facility/Infrastructure Attack,10
Gurkha National Liberation Front (GNLF),Hostage Taking (Kidnapping),2
Insurgents,Assassination,1
Iranians,Bombing/Explosion,2
Jammu and Kashmir Liberation Front,Assassination,1
Jammu and Kashmir Liberation Front,Bombing/Explosion,2
Jammu and Kashmir Liberation Front,Hostage Taking (Kidnapping),1
Jarnail Khalsa,Assassination,1
Karamyit Singh,Assassination,1
Kashmiri Militants,Bombing/Explosion,1
Khalistan Commando Force,Armed Assault,8
Khalistan Commando Force,Assassination,7
Khalistan Commando Force,Bombing/Explosion,2
Khalistan Liberation Force,Armed Assault,2
Khalistan Liberation Force,Assassination,4
Khalistan Liberation Force,Bombing/Explosion,2
Kisar Liberation Movement,Bombing/Explosion,1
Liberation Tigers of Tamil Eelam (LTTE),Armed Assault,1
Liberation Tigers of Tamil Eelam (LTTE),Bombing/Explosion,1
Maoists,Armed Assault,1
Maoists,Assassination,1
Mizo National Front,Armed Assault,2
Mizo National Front,Assassination,2
Muslim Militants,Armed Assault,4
Muslim Militants,Bombing/Explosion,4
Muslim Militants,Hijacking,1
Muslim Separatists,Armed Assault,1
Naga People,Assassination,1
National Socialist Council of Nagaland,Armed Assault,2
National Socialist Council of Nagaland,Assassination,1
Naxalites,Armed Assault,3
Naxalites,Bombing/Explosion,2
Naxalites,Hostage Taking (Kidnapping),2
Organization of Arab Fedayeen Cells,Assassination,1
People's Liberation Army (India),Armed Assault,2
People's Liberation Army (India),Bombing/Explosion,2
People's War Group (PWG),Armed Assault,2
People's War Group (PWG),Hostage Taking (Kidnapping),1
pro-pakistani militants,Bombing/Explosion,2
Revolutionary Organization of Socialist Moslems,Assassination,1
Saffron Tigers,Assassination,1
Scooter Borne terrorists,Armed Assault,2
Separatists,Armed Assault,1
Sikh Extremists,Armed Assault,117
Sikh Extremists,Assassination,213
Sikh Extremists,Bombing/Explosion,64
Sikh Extremists,Facility/Infrastructure Attack,2
Sikh Extremists,Hijacking,5
Sikh Extremists,Hostage Taking (Kidnapping),5
Tamils,Bombing/Explosion,1
Terrorists,Armed Assault,11
Terrorists,Assassination,7
Terrorists,Bombing/Explosion,1
Tribal Separatists,Armed Assault,1
Tripura National Volunteers (TNV),Armed Assault,20
Tripura National Volunteers (TNV),Assassination,4
Tripura National Volunteers (TNV),Facility/Infrastructure Attack,2
Tripura Nationalists,Armed Assault,1
United Liberation Front of Assam (ULFA),Bombing/Explosion,2
