Source,Target,Weight
Al Nasirin (India),Save Kashmir Movement,1
Al-Arifeen,Al Barq,1
All Tripura Tiger Force (ATTF),Lashkar-e-Taiba (LeT),1
All Tripura Tiger Force (ATTF),National Liberation Front of Tripura (NLFT),1
Al-Mansoorian,United Liberation Front of Assam (ULFA),1
Al-Mansoorian,Al-Badr,1
Al-Mansoorian,Hizbul Mujahideen (HM),1
Al-Mansoorian,Islamic Front,1
Al-Mansoorian,Islamic Jihad Front,1
Al-Mansoorian,Jamiat ul-Mujahedin (JuM),1
Al-Nasireen Group,Lashkar-e-Taiba (LeT),1
Al-Nasireen Group,Al-Arifeen,1
Black Widows,Farzandan-e-Millat,1
Communist Party of India - Maoist (CPI-Maoist),Dima Halao Daoga (DHD),1
Communist Party of India - Maoist (CPI-Maoist),Communist Party of India - Maoist (CPI-Maoist),1
Deccan Mujahideen,People's Committee against Police Atrocities (PCPA),1
Dima Halao Daoga (DHD),Lashkar-e-Taiba (LeT),1
Harkatul Jihad-e-Islami,Black Widows,1
Hizbul Mujahideen (HM),Asif Raza Commandos,1
Hizbul Mujahideen (HM),Jaish-e-Mohammad (JeM),1
Hizbul Mujahideen (HM),Lashkar-e-Taiba (LeT),1
Hizbul Mujahideen (HM),Al-Madina,1
Indian Mujahideen,Harakat ul-Mujahidin (HuM),1
Indian Mujahideen,Harkat ul Ansar,1
Islamic Front,Students Islamic Movement of India (SIMI),1
Jamiat ul-Mujahedin (JuM),Al-Mansoorian,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Dima Halao Daoga (DHD),1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),United Liberation Front of Assam (ULFA),1
Other,National Socialist Council of Nagaland-Khaplang (NSCN-K),1
People's Revolutionary Party of Kangleipak (PREPAK),Other,1
